Permission,Role,Role Type
apigeeregistry.instances.update,Editor (roles/editor),Basics Role
apigeeregistry.instances.update,Cloud Apigee Registry Admin (roles/apigeeregistry.admin),Predefined Role
apigeeregistry.locations.get,Owner (roles/owner),Basics Role
apigeeregistry.locations.get,Editor (roles/editor),Basics Role
apigeeregistry.locations.get,Viewer (roles/viewer),Basics Role
apigeeregistry.locations.get,Cloud Apigee Registry Admin (roles/apigeeregistry.admin),Predefined Role
apigeeregistry.locations.list,Owner (roles/owner),Basics Role
apigeeregistry.locations.list,Editor (roles/editor),Basics Role
apigeeregistry.locations.list,Viewer (roles/viewer),Basics Role
apigeeregistry.locations.list,Cloud Apigee Registry Admin (roles/apigeeregistry.admin),Predefined Role
apigeeregistry.locations.list,Security Admin (roles/iam.securityAdmin),Predefined Role
apigeeregistry.locations.list,Security Reviewer (roles/iam.securityReviewer),Predefined Role
apigeeregistry.operations.cancel,Owner (roles/owner),Basics Role
apigeeregistry.operations.cancel,Editor (roles/editor),Basics Role
apigeeregistry.operations.cancel,Cloud Apigee Registry Admin (roles/apigeeregistry.admin),Predefined Role
apigeeregistry.operations.delete,Owner (roles/owner),Basics Role
apigeeregistry.operations.delete,Editor (roles/editor),Basics Role
apigeeregistry.operations.delete,Cloud Apigee Registry Admin (roles/apigeeregistry.admin),Predefined Role
apigeeregistry.operations.get,Owner (roles/owner),Basics Role
apigeeregistry.operations.get,Editor (roles/editor),Basics Role
apigeeregistry.operations.get,Viewer (roles/viewer),Basics Role
apigeeregistry.operations.get,Cloud Apigee Registry Admin (roles/apigeeregistry.admin),Predefined Role
apigeeregistry.operations.list,Owner (roles/owner),Basics Role
apigeeregistry.operations.list,Editor (roles/editor),Basics Role
apigeeregistry.operations.list,Viewer (roles/viewer),Basics Role
apigeeregistry.operations.list,Cloud Apigee Registry Admin (roles/apigeeregistry.admin),Predefined Role
apigeeregistry.operations.list,Security Admin (roles/iam.securityAdmin),Predefined Role
apigeeregistry.operations.list,Security Reviewer (roles/iam.securityReviewer),Predefined Role
apigeeregistry.specs.create,Owner (roles/owner),Basics Role
apigeeregistry.specs.create,Editor (roles/editor),Basics Role
apigeeregistry.specs.create,Cloud Apigee Registry Admin (roles/apigeeregistry.admin),Predefined Role
apigeeregistry.specs.create,Cloud Apigee Registry Editor (roles/apigeeregistry.editor),Predefined Role
apigeeregistry.specs.delete,Owner (roles/owner),Basics Role
apigeeregistry.specs.delete,Editor (roles/editor),Basics Role
apigeeregistry.specs.delete,Cloud Apigee Registry Admin (roles/apigeeregistry.admin),Predefined Role
apigeeregistry.specs.delete,Cloud Apigee Registry Editor (roles/apigeeregistry.editor),Predefined Role
apigeeregistry.specs.get,Owner (roles/owner),Basics Role
apigeeregistry.specs.get,Editor (roles/editor),Basics Role
apigeeregistry.specs.get,Viewer (roles/viewer),Basics Role
apigeeregistry.specs.get,Cloud Apigee Registry Admin (roles/apigeeregistry.admin),Predefined Role
apigeeregistry.specs.get,Cloud Apigee Registry Editor (roles/apigeeregistry.editor),Predefined Role
apigeeregistry.specs.get,Cloud Apigee Registry Viewer (roles/apigeeregistry.viewer),Predefined Role
apigeeregistry.specs.get,Cloud Apigee Registry Worker (roles/apigeeregistry.worker),Predefined Role
apigeeregistry.specs.getIamPolicy,Owner (roles/owner),Basics Role
apigeeregistry.specs.getIamPolicy,Editor (roles/editor),Basics Role
apigeeregistry.specs.getIamPolicy,Viewer (roles/viewer),Basics Role
apigeeregistry.specs.getIamPolicy,Cloud Apigee Registry Admin (roles/apigeeregistry.admin),Predefined Role
apigeeregistry.specs.getIamPolicy,Cloud Apigee Registry Editor (roles/apigeeregistry.editor),Predefined Role
apigeeregistry.specs.getIamPolicy,Security Admin (roles/iam.securityAdmin),Predefined Role
apigeeregistry.specs.getIamPolicy,Security Reviewer (roles/iam.securityReviewer),Predefined Role
apigeeregistry.specs.list,Owner (roles/owner),Basics Role
apigeeregistry.specs.list,Editor (roles/editor),Basics Role
apigeeregistry.specs.list,Viewer (roles/viewer),Basics Role
apigeeregistry.specs.list,Cloud Apigee Registry Admin (roles/apigeeregistry.admin),Predefined Role
apigeeregistry.specs.list,Cloud Apigee Registry Editor (roles/apigeeregistry.editor),Predefined Role
apigeeregistry.specs.list,Cloud Apigee Registry Viewer (roles/apigeeregistry.viewer),Predefined Role
apigeeregistry.specs.list,Cloud Apigee Registry Worker (roles/apigeeregistry.worker),Predefined Role
apigeeregistry.specs.list,Security Admin (roles/iam.securityAdmin),Predefined Role
apigeeregistry.specs.list,Security Reviewer (roles/iam.securityReviewer),Predefined Role
apigeeregistry.specs.setIamPolicy,Owner (roles/owner),Basics Role
apigeeregistry.specs.setIamPolicy,Cloud Apigee Registry Admin (roles/apigeeregistry.admin),Predefined Role
apigeeregistry.specs.setIamPolicy,Security Admin (roles/iam.securityAdmin),Predefined Role
apigeeregistry.specs.update,Owner (roles/owner),Basics Role
apigeeregistry.specs.update,Editor (roles/editor),Basics Role
apigeeregistry.specs.update,Cloud Apigee Registry Admin (roles/apigeeregistry.admin),Predefined Role
apigeeregistry.specs.update,Cloud Apigee Registry Editor (roles/apigeeregistry.editor),Predefined Role
apigeeregistry.specs.update,Cloud Apigee Registry Worker (roles/apigeeregistry.worker),Predefined Role
apigeeregistry.versions.create,Owner (roles/owner),Basics Role
apigeeregistry.versions.create,Editor (roles/editor),Basics Role
apigeeregistry.versions.create,Cloud Apigee Registry Admin (roles/apigeeregistry.admin),Predefined Role
apigeeregistry.versions.create,Cloud Apigee Registry Editor (roles/apigeeregistry.editor),Predefined Role
apigeeregistry.versions.delete,Owner (roles/owner),Basics Role
apigeeregistry.versions.delete,Editor (roles/editor),Basics Role
apigeeregistry.versions.delete,Cloud Apigee Registry Admin (roles/apigeeregistry.admin),Predefined Role
apigeeregistry.versions.delete,Cloud Apigee Registry Editor (roles/apigeeregistry.editor),Predefined Role
apigeeregistry.versions.get,Owner (roles/owner),Basics Role
apigeeregistry.versions.get,Editor (roles/editor),Basics Role
apigeeregistry.versions.get,Viewer (roles/viewer),Basics Role
apigeeregistry.versions.get,Cloud Apigee Registry Admin (roles/apigeeregistry.admin),Predefined Role
apigeeregistry.versions.get,Cloud Apigee Registry Editor (roles/apigeeregistry.editor),Predefined Role
apigeeregistry.versions.get,Cloud Apigee Registry Viewer (roles/apigeeregistry.viewer),Predefined Role
apigeeregistry.versions.get,Cloud Apigee Registry Worker (roles/apigeeregistry.worker),Predefined Role
apigeeregistry.versions.getIamPolicy,Owner (roles/owner),Basics Role
apigeeregistry.versions.getIamPolicy,Editor (roles/editor),Basics Role
apigeeregistry.versions.getIamPolicy,Viewer (roles/viewer),Basics Role
apigeeregistry.versions.getIamPolicy,Cloud Apigee Registry Admin (roles/apigeeregistry.admin),Predefined Role
apigeeregistry.versions.getIamPolicy,Cloud Apigee Registry Editor (roles/apigeeregistry.editor),Predefined Role
apigeeregistry.versions.getIamPolicy,Security Admin (roles/iam.securityAdmin),Predefined Role
apigeeregistry.versions.getIamPolicy,Security Reviewer (roles/iam.securityReviewer),Predefined Role
apigeeregistry.versions.list,Owner (roles/owner),Basics Role
apigeeregistry.versions.list,Editor (roles/editor),Basics Role
apigeeregistry.versions.list,Viewer (roles/viewer),Basics Role
apigeeregistry.versions.list,Cloud Apigee Registry Admin (roles/apigeeregistry.admin),Predefined Role
apigeeregistry.versions.list,Cloud Apigee Registry Editor (roles/apigeeregistry.editor),Predefined Role
apigeeregistry.versions.list,Cloud Apigee Registry Viewer (roles/apigeeregistry.viewer),Predefined Role
apigeeregistry.versions.list,Cloud Apigee Registry Worker (roles/apigeeregistry.worker),Predefined Role
apigeeregistry.versions.list,Security Admin (roles/iam.securityAdmin),Predefined Role
apigeeregistry.versions.list,Security Reviewer (roles/iam.securityReviewer),Predefined Role
apigeeregistry.versions.setIamPolicy,Owner (roles/owner),Basics Role
apigeeregistry.versions.setIamPolicy,Cloud Apigee Registry Admin (roles/apigeeregistry.admin),Predefined Role
apigeeregistry.versions.setIamPolicy,Security Admin (roles/iam.securityAdmin),Predefined Role
apigeeregistry.versions.update,Owner (roles/owner),Basics Role
apigeeregistry.versions.update,Editor (roles/editor),Basics Role
apigeeregistry.versions.update,Cloud Apigee Registry Admin (roles/apigeeregistry.admin),Predefined Role
apigeeregistry.versions.update,Cloud Apigee Registry Editor (roles/apigeeregistry.editor),Predefined Role
apigeeregistry.versions.update,Cloud Apigee Registry Worker (roles/apigeeregistry.worker),Predefined Role
apikeys.keys.create,Owner (roles/owner),Basics Role
apikeys.keys.create,Editor (roles/editor),Basics Role
apikeys.keys.create,Firebase Service Management Service Agent (roles/firebase.managementServiceAgent),Predefined Role
apikeys.keys.create,API Keys Admin (roles/serviceusage.apiKeysAdmin),Predefined Role
apikeys.keys.delete,Owner (roles/owner),Basics Role
apikeys.keys.delete,Editor (roles/editor),Basics Role
apikeys.keys.delete,API Keys Admin (roles/serviceusage.apiKeysAdmin),Predefined Role
apikeys.keys.get,Owner (roles/owner),Basics Role
apikeys.keys.get,Editor (roles/editor),Basics Role
apikeys.keys.get,Viewer (roles/viewer),Basics Role
apikeys.keys.get,Firebase Admin (roles/firebase.admin),Predefined Role
apikeys.keys.get,Firebase Develop Admin (roles/firebase.developAdmin),Predefined Role
apikeys.keys.get,Firebase Service Management Service Agent (roles/firebase.managementServiceAgent),Predefined Role
apikeys.keys.get,Security Center Control Service Agent (roles/securitycenter.controlServiceAgent),Predefined Role
apikeys.keys.get,Security Health Analytics Service Agent (roles/securitycenter.securityHealthAnalyticsServiceAgent),Predefined Role
apikeys.keys.get,Security Center Service Agent (roles/securitycenter.serviceAgent),Predefined Role
apikeys.keys.get,API Keys Admin (roles/serviceusage.apiKeysAdmin),Predefined Role
apikeys.keys.get,API Keys Viewer (roles/serviceusage.apiKeysViewer),Predefined Role
apikeys.keys.list,Owner (roles/owner),Basics Role
apikeys.keys.list,Editor (roles/editor),Basics Role
apikeys.keys.list,Viewer (roles/viewer),Basics Role
apikeys.keys.list,Firebase Admin (roles/firebase.admin),Predefined Role
apikeys.keys.list,Firebase Develop Admin (roles/firebase.developAdmin),Predefined Role
apikeys.keys.list,Firebase Service Management Service Agent (roles/firebase.managementServiceAgent),Predefined Role
apikeys.keys.list,Firebase SDK Provisioning Service Agent (roles/firebase.sdkProvisioningServiceAgent),Predefined Role
apikeys.keys.list,Security Admin (roles/iam.securityAdmin),Predefined Role
apikeys.keys.list,Security Reviewer (roles/iam.securityReviewer),Predefined Role
apikeys.keys.list,Security Center Control Service Agent (roles/securitycenter.controlServiceAgent),Predefined Role
apikeys.keys.list,Security Health Analytics Service Agent (roles/securitycenter.securityHealthAnalyticsServiceAgent),Predefined Role
apikeys.keys.list,Security Center Service Agent (roles/securitycenter.serviceAgent),Predefined Role
apikeys.keys.list,API Keys Admin (roles/serviceusage.apiKeysAdmin),Predefined Role
apikeys.keys.list,API Keys Viewer (roles/serviceusage.apiKeysViewer),Predefined Role
apikeys.keys.lookup,Owner (roles/owner),Basics Role
apikeys.keys.lookup,Editor (roles/editor),Basics Role
apikeys.keys.lookup,Viewer (roles/viewer),Basics Role
apikeys.keys.lookup,Firebase Admin (roles/firebase.admin),Predefined Role
apikeys.keys.lookup,Firebase Develop Admin (roles/firebase.developAdmin),Predefined Role
apikeys.keys.lookup,Security Center Control Service Agent (roles/securitycenter.controlServiceAgent),Predefined Role
apikeys.keys.lookup,Security Health Analytics Service Agent (roles/securitycenter.securityHealthAnalyticsServiceAgent),Predefined Role
apikeys.keys.lookup,Security Center Service Agent (roles/securitycenter.serviceAgent),Predefined Role
apikeys.keys.lookup,API Keys Admin (roles/serviceusage.apiKeysAdmin),Predefined Role
apikeys.keys.lookup,API Keys Viewer (roles/serviceusage.apiKeysViewer),Predefined Role
apikeys.keys.update,Owner (roles/owner),Basics Role
apikeys.keys.update,Editor (roles/editor),Basics Role
apikeys.keys.update,Firebase Service Management Service Agent (roles/firebase.managementServiceAgent),Predefined Role
apikeys.keys.update,API Keys Admin (roles/serviceusage.apiKeysAdmin),Predefined Role
appengine.applications.create,Owner (roles/owner),Basics Role
appengine.applications.create,App Engine Creator (roles/appengine.appCreator),Predefined Role
appengine.applications.create,Firebase Service Management Service Agent (roles/firebase.managementServiceAgent),Predefined Role
appengine.applications.get,Owner (roles/owner),Basics Role
appengine.applications.get,Editor (roles/editor),Basics Role
appengine.applications.get,Viewer (roles/viewer),Basics Role
appengine.applications.get,App Engine Admin (roles/appengine.appAdmin),Predefined Role
appengine.applications.get,App Engine Viewer (roles/appengine.appViewer),Predefined Role
appengine.applications.get,App Engine Code Viewer (roles/appengine.codeViewer),Predefined Role
appengine.applications.get,App Engine Deployer (roles/appengine.deployer),Predefined Role
appengine.applications.get,App Engine Memcache Data Admin (roles/appengine.memcacheDataAdmin),Predefined Role
appengine.applications.get,App Engine Service Admin (roles/appengine.serviceAdmin),Predefined Role
appengine.applications.get,Cloud Scheduler Admin (roles/cloudscheduler.admin),Predefined Role
appengine.applications.get,Cloud Scheduler Job Runner (roles/cloudscheduler.jobRunner),Predefined Role
appengine.applications.get,Cloud Scheduler Viewer (roles/cloudscheduler.viewer),Predefined Role
appengine.applications.get,Web Security Scanner Editor (roles/cloudsecurityscanner.editor),Predefined Role
appengine.applications.get,Cloud Composer API Service Agent (roles/composer.serviceAgent),Predefined Role
appengine.applications.get,Datapipelines Service Agent (roles/datapipelines.serviceAgent),Predefined Role
appengine.applications.get,Cloud Datastore Import Export Admin (roles/datastore.importExportAdmin),Predefined Role
appengine.applications.get,Cloud Datastore Index Admin (roles/datastore.indexAdmin),Predefined Role
appengine.applications.get,Cloud Datastore Owner (roles/datastore.owner),Predefined Role
appengine.applications.get,Cloud Datastore User (roles/datastore.user),Predefined Role
appengine.applications.get,Cloud Datastore Viewer (roles/datastore.viewer),Predefined Role
appengine.applications.get,DLP API Service Agent (roles/dlp.serviceAgent),Predefined Role
appengine.applications.get,Firebase Admin (roles/firebase.admin),Predefined Role
appengine.applications.get,Firebase Develop Admin (roles/firebase.developAdmin),Predefined Role
appengine.applications.get,Firebase Service Management Service Agent (roles/firebase.managementServiceAgent),Predefined Role
appengine.applications.get,Firebase Admin SDK Administrator Service Agent (roles/firebase.sdkAdminServiceAgent),Predefined Role
appengine.applications.get,Firebase Extensions API Service Agent (roles/firebasemods.serviceAgent),Predefined Role
appengine.applications.get,Security Center Admin (roles/securitycenter.admin),Predefined Role
appengine.applications.get,Security Center Admin Editor (roles/securitycenter.adminEditor),Predefined Role
appengine.applications.get,Security Center Control Service Agent (roles/securitycenter.controlServiceAgent),Predefined Role
appengine.applications.get,Security Health Analytics Service Agent (roles/securitycenter.securityHealthAnalyticsServiceAgent),Predefined Role
appengine.applications.get,Security Center Service Agent (roles/securitycenter.serviceAgent),Predefined Role
appengine.applications.get,Cloud Web Security Scanner Service Agent (roles/websecurityscanner.serviceAgent),Predefined Role
appengine.applications.update,Owner (roles/owner),Basics Role
appengine.applications.update,Editor (roles/editor),Basics Role
appengine.applications.update,App Engine Admin (roles/appengine.appAdmin),Predefined Role
appengine.applications.update,Cloud Composer API Service Agent (roles/composer.serviceAgent),Predefined Role
appengine.applications.update,Firebase Service Management Service Agent (roles/firebase.managementServiceAgent),Predefined Role
appengine.instances.delete,Owner (roles/owner),Basics Role
appengine.instances.delete,Editor (roles/editor),Basics Role
appengine.instances.delete,App Engine Admin (roles/appengine.appAdmin),Predefined Role
appengine.instances.delete,App Engine Service Admin (roles/appengine.serviceAdmin),Predefined Role
appengine.instances.delete,Cloud Composer API Service Agent (roles/composer.serviceAgent),Predefined Role
appengine.instances.get,Owner (roles/owner),Basics Role
appengine.instances.get,Editor (roles/editor),Basics Role
appengine.instances.get,Viewer (roles/viewer),Basics Role
appengine.instances.get,App Engine Admin (roles/appengine.appAdmin),Predefined Role
appengine.instances.get,App Engine Viewer (roles/appengine.appViewer),Predefined Role
appengine.instances.get,App Engine Code Viewer (roles/appengine.codeViewer),Predefined Role
appengine.instances.get,App Engine Deployer (roles/appengine.deployer),Predefined Role
appengine.instances.get,App Engine Service Admin (roles/appengine.serviceAdmin),Predefined Role
appengine.instances.get,Cloud Composer API Service Agent (roles/composer.serviceAgent),Predefined Role
appengine.instances.get,Security Center Control Service Agent (roles/securitycenter.controlServiceAgent),Predefined Role
appengine.instances.get,Security Center Service Agent (roles/securitycenter.serviceAgent),Predefined Role
appengine.instances.list,Owner (roles/owner),Basics Role
appengine.instances.list,Editor (roles/editor),Basics Role
appengine.instances.list,Viewer (roles/viewer),Basics Role
appengine.instances.list,App Engine Admin (roles/appengine.appAdmin),Predefined Role
appengine.instances.list,App Engine Viewer (roles/appengine.appViewer),Predefined Role
appengine.instances.list,App Engine Code Viewer (roles/appengine.codeViewer),Predefined Role
appengine.instances.list,App Engine Deployer (roles/appengine.deployer),Predefined Role
appengine.instances.list,App Engine Service Admin (roles/appengine.serviceAdmin),Predefined Role
appengine.instances.list,Cloud Composer API Service Agent (roles/composer.serviceAgent),Predefined Role
appengine.instances.list,Security Admin (roles/iam.securityAdmin),Predefined Role
appengine.instances.list,Security Reviewer (roles/iam.securityReviewer),Predefined Role
appengine.instances.list,Security Center Control Service Agent (roles/securitycenter.controlServiceAgent),Predefined Role
appengine.instances.list,Security Center Service Agent (roles/securitycenter.serviceAgent),Predefined Role
appengine.memcache.addKey,Owner (roles/owner),Basics Role
appengine.memcache.addKey,Editor (roles/editor),Basics Role
appengine.memcache.addKey,App Engine Admin (roles/appengine.appAdmin),Predefined Role
appengine.memcache.addKey,App Engine Memcache Data Admin (roles/appengine.memcacheDataAdmin),Predefined Role
appengine.memcache.addKey,Cloud Composer API Service Agent (roles/composer.serviceAgent),Predefined Role
appengine.memcache.flush,Owner (roles/owner),Basics Role
appengine.memcache.flush,Editor (roles/editor),Basics Role
appengine.memcache.flush,App Engine Admin (roles/appengine.appAdmin),Predefined Role
appengine.memcache.flush,App Engine Memcache Data Admin (roles/appengine.memcacheDataAdmin),Predefined Role
appengine.memcache.flush,Cloud Composer API Service Agent (roles/composer.serviceAgent),Predefined Role
appengine.memcache.get,Owner (roles/owner),Basics Role
appengine.memcache.get,Editor (roles/editor),Basics Role
appengine.memcache.get,Viewer (roles/viewer),Basics Role
appengine.memcache.get,App Engine Admin (roles/appengine.appAdmin),Predefined Role
appengine.memcache.get,App Engine Memcache Data Admin (roles/appengine.memcacheDataAdmin),Predefined Role
appengine.memcache.get,Cloud Composer API Service Agent (roles/composer.serviceAgent),Predefined Role
appengine.memcache.getKey,Owner (roles/owner),Basics Role
appengine.memcache.getKey,Editor (roles/editor),Basics Role
appengine.memcache.getKey,Viewer (roles/viewer),Basics Role
appengine.memcache.list,Owner (roles/owner),Basics Role
appengine.memcache.list,Editor (roles/editor),Basics Role
appengine.memcache.list,Viewer (roles/viewer),Basics Role
appengine.memcache.list,Security Admin (roles/iam.securityAdmin),Predefined Role
appengine.memcache.list,Security Reviewer (roles/iam.securityReviewer),Predefined Role
appengine.memcache.update,Owner (roles/owner),Basics Role
appengine.memcache.update,Editor (roles/editor),Basics Role
appengine.memcache.update,App Engine Admin (roles/appengine.appAdmin),Predefined Role
appengine.memcache.update,App Engine Memcache Data Admin (roles/appengine.memcacheDataAdmin),Predefined Role
appengine.memcache.update,Cloud Composer API Service Agent (roles/composer.serviceAgent),Predefined Role
appengine.operations.get,Owner (roles/owner),Basics Role
appengine.operations.get,Editor (roles/editor),Basics Role
appengine.operations.get,Viewer (roles/viewer),Basics Role
appengine.operations.get,App Engine Admin (roles/appengine.appAdmin),Predefined Role
appengine.operations.get,App Engine Viewer (roles/appengine.appViewer),Predefined Role
appengine.operations.get,App Engine Code Viewer (roles/appengine.codeViewer),Predefined Role
appengine.operations.get,App Engine Deployer (roles/appengine.deployer),Predefined Role
appengine.operations.get,App Engine Service Admin (roles/appengine.serviceAdmin),Predefined Role
appengine.operations.get,Cloud Composer API Service Agent (roles/composer.serviceAgent),Predefined Role
appengine.operations.get,Firebase Service Management Service Agent (roles/firebase.managementServiceAgent),Predefined Role
appengine.operations.get,Security Center Control Service Agent (roles/securitycenter.controlServiceAgent),Predefined Role
appengine.operations.get,Security Center Service Agent (roles/securitycenter.serviceAgent),Predefined Role
appengine.operations.list,Owner (roles/owner),Basics Role
appengine.operations.list,Editor (roles/editor),Basics Role
appengine.operations.list,Viewer (roles/viewer),Basics Role
appengine.operations.list,App Engine Admin (roles/appengine.appAdmin),Predefined Role
appengine.operations.list,App Engine Viewer (roles/appengine.appViewer),Predefined Role
appengine.operations.list,App Engine Code Viewer (roles/appengine.codeViewer),Predefined Role
appengine.operations.list,App Engine Deployer (roles/appengine.deployer),Predefined Role
appengine.operations.list,App Engine Service Admin (roles/appengine.serviceAdmin),Predefined Role
appengine.operations.list,Cloud Composer API Service Agent (roles/composer.serviceAgent),Predefined Role
appengine.operations.list,Security Admin (roles/iam.securityAdmin),Predefined Role
appengine.operations.list,Security Reviewer (roles/iam.securityReviewer),Predefined Role
appengine.operations.list,Security Center Control Service Agent (roles/securitycenter.controlServiceAgent),Predefined Role
appengine.operations.list,Security Center Service Agent (roles/securitycenter.serviceAgent),Predefined Role
appengine.runtimes.actAsAdmin,Owner (roles/owner),Basics Role
appengine.runtimes.actAsAdmin,Editor (roles/editor),Basics Role
appengine.runtimes.actAsAdmin,Viewer (roles/viewer),Basics Role
appengine.runtimes.actAsAdmin,App Engine Admin (roles/appengine.appAdmin),Predefined Role
appengine.runtimes.actAsAdmin,Cloud Composer API Service Agent (roles/composer.serviceAgent),Predefined Role
appengine.services.delete,Owner (roles/owner),Basics Role
appengine.services.delete,Editor (roles/editor),Basics Role
appengine.services.delete,App Engine Admin (roles/appengine.appAdmin),Predefined Role
appengine.services.delete,App Engine Service Admin (roles/appengine.serviceAdmin),Predefined Role
appengine.services.delete,Cloud Composer API Service Agent (roles/composer.serviceAgent),Predefined Role
appengine.services.get,Owner (roles/owner),Basics Role
appengine.services.get,Editor (roles/editor),Basics Role
appengine.services.get,Viewer (roles/viewer),Basics Role
appengine.services.get,App Engine Admin (roles/appengine.appAdmin),Predefined Role
appengine.services.get,App Engine Viewer (roles/appengine.appViewer),Predefined Role
appengine.services.get,App Engine Code Viewer (roles/appengine.codeViewer),Predefined Role
appengine.services.get,App Engine Deployer (roles/appengine.deployer),Predefined Role
appengine.services.get,App Engine Service Admin (roles/appengine.serviceAdmin),Predefined Role
appengine.services.get,Cloud Composer API Service Agent (roles/composer.serviceAgent),Predefined Role
appengine.services.get,Security Center Control Service Agent (roles/securitycenter.controlServiceAgent),Predefined Role
appengine.services.get,Security Center Service Agent (roles/securitycenter.serviceAgent),Predefined Role
appengine.services.list,Owner (roles/owner),Basics Role
appengine.services.list,Editor (roles/editor),Basics Role
appengine.services.list,Viewer (roles/viewer),Basics Role
appengine.services.list,App Engine Admin (roles/appengine.appAdmin),Predefined Role
appengine.services.list,App Engine Viewer (roles/appengine.appViewer),Predefined Role
appengine.services.list,App Engine Code Viewer (roles/appengine.codeViewer),Predefined Role
appengine.services.list,App Engine Deployer (roles/appengine.deployer),Predefined Role
appengine.services.list,App Engine Service Admin (roles/appengine.serviceAdmin),Predefined Role
appengine.services.list,Cloud Composer API Service Agent (roles/composer.serviceAgent),Predefined Role
appengine.services.list,Firebase Service Management Service Agent (roles/firebase.managementServiceAgent),Predefined Role
appengine.services.list,Security Admin (roles/iam.securityAdmin),Predefined Role
appengine.services.list,Security Reviewer (roles/iam.securityReviewer),Predefined Role
appengine.services.list,Security Center Control Service Agent (roles/securitycenter.controlServiceAgent),Predefined Role
appengine.services.list,Security Center Service Agent (roles/securitycenter.serviceAgent),Predefined Role
appengine.services.update,Owner (roles/owner),Basics Role
appengine.services.update,Editor (roles/editor),Basics Role
appengine.services.update,App Engine Admin (roles/appengine.appAdmin),Predefined Role
appengine.services.update,App Engine Service Admin (roles/appengine.serviceAdmin),Predefined Role
appengine.services.update,Cloud Composer API Service Agent (roles/composer.serviceAgent),Predefined Role
appengine.versions.create,Owner (roles/owner),Basics Role
appengine.versions.create,Editor (roles/editor),Basics Role
appengine.versions.create,App Engine Admin (roles/appengine.appAdmin),Predefined Role
appengine.versions.create,App Engine Deployer (roles/appengine.deployer),Predefined Role
appengine.versions.create,Cloud Composer API Service Agent (roles/composer.serviceAgent),Predefined Role
appengine.versions.delete,Owner (roles/owner),Basics Role
appengine.versions.delete,Editor (roles/editor),Basics Role
appengine.versions.delete,App Engine Admin (roles/appengine.appAdmin),Predefined Role
appengine.versions.delete,App Engine Deployer (roles/appengine.deployer),Predefined Role
appengine.versions.delete,App Engine Service Admin (roles/appengine.serviceAdmin),Predefined Role
appengine.versions.delete,Cloud Composer API Service Agent (roles/composer.serviceAgent),Predefined Role
appengine.versions.get,Owner (roles/owner),Basics Role
appengine.versions.get,Editor (roles/editor),Basics Role
appengine.versions.get,Viewer (roles/viewer),Basics Role
appengine.versions.get,App Engine Admin (roles/appengine.appAdmin),Predefined Role
appengine.versions.get,App Engine Viewer (roles/appengine.appViewer),Predefined Role
appengine.versions.get,App Engine Code Viewer (roles/appengine.codeViewer),Predefined Role
appengine.versions.get,App Engine Deployer (roles/appengine.deployer),Predefined Role
appengine.versions.get,App Engine Service Admin (roles/appengine.serviceAdmin),Predefined Role
appengine.versions.get,Cloud Composer API Service Agent (roles/composer.serviceAgent),Predefined Role
appengine.versions.get,Security Center Control Service Agent (roles/securitycenter.controlServiceAgent),Predefined Role
appengine.versions.get,Security Center Service Agent (roles/securitycenter.serviceAgent),Predefined Role
appengine.versions.getFileContents,Owner (roles/owner),Basics Role
appengine.versions.getFileContents,App Engine Code Viewer (roles/appengine.codeViewer),Predefined Role
appengine.versions.list,Owner (roles/owner),Basics Role
appengine.versions.list,Editor (roles/editor),Basics Role
appengine.versions.list,Viewer (roles/viewer),Basics Role
appengine.versions.list,App Engine Admin (roles/appengine.appAdmin),Predefined Role
appengine.versions.list,App Engine Viewer (roles/appengine.appViewer),Predefined Role
appengine.versions.list,App Engine Code Viewer (roles/appengine.codeViewer),Predefined Role
appengine.versions.list,App Engine Deployer (roles/appengine.deployer),Predefined Role
appengine.versions.list,App Engine Service Admin (roles/appengine.serviceAdmin),Predefined Role
appengine.versions.list,Cloud Composer API Service Agent (roles/composer.serviceAgent),Predefined Role
appengine.versions.list,Security Admin (roles/iam.securityAdmin),Predefined Role
appengine.versions.list,Security Reviewer (roles/iam.securityReviewer),Predefined Role
appengine.versions.list,Security Center Control Service Agent (roles/securitycenter.controlServiceAgent),Predefined Role
appengine.versions.list,Security Center Service Agent (roles/securitycenter.serviceAgent),Predefined Role
appengine.versions.update,Owner (roles/owner),Basics Role
appengine.versions.update,Editor (roles/editor),Basics Role
appengine.versions.update,App Engine Admin (roles/appengine.appAdmin),Predefined Role
appengine.versions.update,App Engine Service Admin (roles/appengine.serviceAdmin),Predefined Role
appengine.versions.update,Cloud Composer API Service Agent (roles/composer.serviceAgent),Predefined Role
artifactregistry.aptartifacts.create,Owner (roles/owner),Basics Role
artifactregistry.aptartifacts.create,Editor (roles/editor),Basics Role
artifactregistry.aptartifacts.create,Artifact Registry Administrator (roles/artifactregistry.admin),Predefined Role
artifactregistry.aptartifacts.create,Artifact Registry Repository Administrator (roles/artifactregistry.repoAdmin),Predefined Role
artifactregistry.aptartifacts.create,Artifact Registry Writer (roles/artifactregistry.writer),Predefined Role
artifactregistry.aptartifacts.create,Cloud Build Service Account (roles/cloudbuild.builds.builder),Predefined Role
artifactregistry.aptartifacts.create,Cloud Build Service Agent (roles/cloudbuild.serviceAgent),Predefined Role
artifactregistry.aptartifacts.create,Cloud Functions Service Agent (roles/cloudfunctions.serviceAgent),Predefined Role
artifactregistry.aptartifacts.create,Composer Worker (roles/composer.worker),Predefined Role
